PALAVRA,QTD_PALAVRA
,0
SPEED,11
READING,36
,180
THE,43
AVERAGE,2
OF,36
IS,17
240,1
WORDS,11
PER,4
MINUTE,2
WPM,2
HOWEVER,3
YOU,51
CAN,16
INCREASE,6
YOUR,37
BY,7
USING,1
SOME,4
THESE,3
SIMPLE,3
TECHNIQUES,5
INVOLVES,2
SEEING,1
AND,32
RECOGNISING,1
SYMBOLIC,1
INFORMATION,6
COMPREHENSION,5
PROCESSING,1
THAT,3
FOLLOWING,2
STAGES,1
INVOLVE,1
STORAGE,2
RECALL,2
COMMUNICATION,1
READ,17
MAIN,2
CAUSES,1
SLOW,3
ARE,17
AT,6
STAGE,1
PUT,1
SIMPLY,1
PEOPLE,1
DONÂ€™T,3
PAY,1
ATTENTION,3
EYES,6
MOVE,2
OVER,2
TEXT,17
SMOOTHLY,1
BUT,3
IN,12
A,35
SERIES,1
STOPS,1
JUMPS,1
PAUSING,1
FOR,9
FRACTION,1
SECOND,1
ON,7
PHRASES,2
PAUSES,1
CALLED,1
FIXATIONS,1
IF,7
RE-READ,1
SECTIONS,1
OR,7
AS,15
MATTER,1
COURSE,1
THEN,5
WILL,12
BE,4
MUCH,2
SLOWER,3
READER,1
THAN,8
SHOULD,4
IT,9
NOT,5
NECESSARY,1
TO,42
FOCUS,9
INDIVIDUAL,1
WE,1
GAIN,4
MEANING,3
FROM,3
GROUPS,2
FAST,2
READERS,2
TAKE,5
MANY,1
SIX,1
FIXATION,3
1,2
MORE,9
OFTEN,2
JUST,2
MAKING,1
CONSCIOUS,2
EFFORT,3
IMPROVE,3
STYLE,2
AUTOMATICALLY,1
MAKE,3
FASTER,5
2,2
ACTUALLY,2
SPEEDING,1
UP,2
NATURAL,1
REQUIRES,1
LESS,3
BOTH,1
PHYSICALLY,1
TERMS,1
EYE,4
MOVEMENT,4
MENTALLY,1
LIKELY,2
BECOME,2
BORED,2
LOSE,2
CONCENTRATION,1
OUR,1
BRAINS,1
STIMULATED,1
THEREFORE,2
FOCUSED,1
WHEN,3
UNIQUE,1
3,2
IMPETUS,1
THEY,3
BETTER,1
THERE,5
USE,6
PRACTISING,1
WILL:,1
REDUCE,2
TIME,6
EACH,3
FIXATION;,1
EXPAND,2
INCLUDE,1
WORDS;,1
BACK-SKIPPING,3
INCREASING,6
NO,1
POINT,1
QUICKLY,1
DO,1
UNDERSTAND,3
WHAT,4
UNDERSTANDING,6
ELIMINATING,1
SAME,1
TRAIN,4
HERE,1
TIPS,1
HELP,8
COMPREHENSION:,1
4,2
TONY,2
BUZAN,2
HEAD,2
BBC,1
WORLDWIDE,1
LIMITED,1
2000,1
P,1
50,1
ERIC,1
JENSEN,1
LEARNING,1
BRAIN,3
STORE,1
1995,1
HTTP://ENGLISH,2
GLENDALE,2
CC,2
CA,2
US,1
REF:,1
HTTP://MEMBER,1
GOODPRACTICE,1
NET/LEADERSHIP-FOUNDATION-,1
KB/WELCOME,1
GP,1
Ï‚·	VARY,1
DIFFERENT,3
TYPES,1
REQUIRE,2
SO,1
NEED,2
KNOW,1
WANT,2
PIECE,4
BEFORE,2
AIM,1
GENERAL,4
SKIM,2
DETAILED,1
VIEW,1
SLOWLY,3
ENOUGH,1
FULL,1
5,2
DIFFICULT,1
SUCH,3
JOURNAL,1
ARTICLES,1
ALSO,9
EASIER,1
MAGAZINES,1
Ï‚·	PREVIEW,1
TAKING,2
FEW,2
SECONDS,3
LOOK,3
HEADINGS,2
SUBHEADINGS,2
PICTURES,1
DIAGRAMS,1
FIRST,2
SENTENCES,2
PARAGRAPHS,2
Ï‚·	TAKE,1
BREAKS,1
MOMENTUM,1
STARTS,1
COUPLE,1
AWAY,1
SOMETHING,1
ELSE,1
MAY,1
PREFER,1
CLOSE,1
Ï‚·	TEST,1
YOURSELF,3
STOP,2
PERIODICALLY,1
HAVE,2
THIS,6
ALLOW,3
SEE,1
WHILE,1
AIDING,1
VISUAL,3
AIDS,2
CHANGING,1
GO,2
THINK,1
6,2
Ï‚·	POINTING,1
CHILDREN,1
LEARN,1
THEIR,1
FINGER,1
ALONG,1
GOOD,3
PRACTICE,1
DRAWN,1
MOTION,3
GIVES,1
SMOOTH,3
RHYTHMICAL,1
HABIT,2
MOVING,3
HAND,6
PEN,3
UNDER,2
LINE,5
AID,3
Ï‚·	DOWN,1
STROKES,2
PLACING,1
PAGE,4
EVENLY,1
DOWN,5
ONCE,1
DRAW,2
FOLLOW,1
EXACTLY,1
Ï‚·	HIDING,1
BREAK,1
PAPER,2
COVER,1
ABOVE,1
Ï‚·	HOP,1
NUMBER,3
TWO,1
EVEN,2
BOUNCES,1
GROUP,1
THREE,2
FIVE,1
MAINTAIN,1
STEADY,2
RHYTHM,2
Â€˜SPEED,2
-,1
RADICALLY,1
SPEEDÂ€™,1
AT:,3
WWW,2
MINDTOOLS,1
COM,2
DENNIS,1
DOYLE,1
Â€˜SELF-READING,1
SELF,1
PACING,1
METHODSÂ€™,1
US/METHODS,1
HTML,1
EXPANDING,1
VERY,3
EXAMPLE,1
LOOKING,1
FIND,1
OUT,2
WHETHER,1
AN,3
ARTICLE,1
RELEVANT,1
NEEDS,1
IDEA,2
LAST,1
ABSTRACTS,1
CONCLUSIONS,1
USEFUL,2
PURPOSE,1
ONE,4
WORD,2
POSSIBLE,1
SENTENCE,1
GETTING,1
OVERVIEW,1
IMPROVING,1
SPEEDS,1
EVERY,1
