,PALAVRA,QTD_PALAVRA,PRONUNCIA,TRADUCAO
5,YOU,51,YUU,['VOCÊ']
1,THE,43,DHÂ,"['O, A, OS, AS']"
44,TO,42,TUU,['PARA']
7,YOUR,37,YÓR,['SEU']
2,OF,36,ÂV,['DE']
26,A,35,Â,"['UM, UMA']"
12,AND,32,ÉND,['E']
3,IS,17,ÊS,['É']
14,READ,17,RIID,"['LER, LIDO']"
17,ARE,17,AR,"['SÃO, ESTÃO']"
6,CAN,16,KÉN,"['PODE, LATA']"
33,AS,15,ÉS,"['COMO, ENQUANTO']"
37,WILL,12,UÊL,"['VAI, VONTADE']"
25,IN,12,ÊN,"['EM, DENTRO']"
0,SPEED,11,SPIID,['VELOCIDADE']
27,FOR,9,FÓR,"['POR, PARA']"
51,MORE,9,MÓR,['MAIS']
93,ALSO,9,ÓLSOU,['TAMBÉM']
42,IT,9,ÊT,['ESTE']
76,HELP,8,RRÊLP,['AJUDAR']
40,THAN,8,DHÉN,['QUE']
8,BY,7,BAI,"['POR, EM']"
32,OR,7,ÓR,['OU']
31,IF,7,ÊF,['SE']
30,ON,7,ÓN,['EM']
65,USE,6,IUZ,['USAR']
102,THIS,6,DHÊS,['ESTE']
115,HAND,6,RRÉND,['MÃO']
18,AT,6,ÉT,['EM']
66,TIME,6,TAIM,"['TEMPO, HORA']"
119,DOWN,5,DAUN,['BAIXO']
64,THERE,5,THÉR,['LÁ']
36,THEN,5,DHÊN,['ENTÃO']
48,TAKE,5,TEIK,['PEGAR']
117,LINE,5,LAIN,"['LINHA, FILA']"
118,PAGE,4,PEIJ,['PÁGINA']
72,WHAT,4,UÓT,['O-QUE']
74,TRAIN,4,TRÊIN,"['TREM, TREINAR']"
167,TEST,4,TEST,['TESTE']
142,ONE,4,UÂN,['UM']
59,EYE,4,AI,['OLHO']
87,GENERAL,4,JENRAL,"['GENERAL, GERAL']"
85,PIECE,4,PIIS,"['PEÇA, PEDAÇO']"
41,SHOULD,4,SHÔD,['DEVERIA']
38,BE,4,BII,"['SER, ESTAR']"
9,SOME,4,SÂM,['ALGUM']
62,THEY,3,DHEI,['ELES']
112,GOOD,3,GÔD,['BOM']
24,BUT,3,BÂT,['MAS']
67,EACH,3,IICH,['CADA']
16,SLOW,3,SLOU,['DEVAGAR']
103,ALLOW,3,ÂLAU,['PERMITIR']
95,LOOK,3,LÔK,['OLHAR']
61,WHEN,3,UEN,['QUANDO']
134,VERY,3,VÉRI,"['MUITO, ABSOLUTO']"
92,SUCH,3,SÂTCH,['TAL']
57,LESS,3,LES,['MENOS']
114,MOTION,3,MOUSHÂN,['MOVIMENTO']
54,MAKE,3,MEIK,['FAZER']
13,THAT,3,DHÉT,"['QUE, AQUELE']"
11,SIMPLE,3,SÊMPÂL,['SIMPLES']
10,THESE,3,DHIIZ,['ESTES']
150,COULD,3,CÔD,['PODERIA']
46,FROM,3,FRÂM,['DE']
127,NUMBER,3,NÂMBÂR,['NÚMERO']
139,AN,3,ÉN,"['UM, UMA']"
140,IDEA,2,AIDIIA,['IDÉIA']
143,WORD,2,UÂD,['PALAVRA']
94,FEW,2,FIU,['ALGUNS']
86,BEFORE,2,BÊFÓR,['ANTES']
96,FIRST,2,FÂRST,['PRIMEIRO']
106,GO,2,GÔU,['IR']
100,STOP,2,STAP,['PARAR']
101,HAVE,2,RRÉV,['TER']
137,OUT,2,AUT,['FORA']
82,NEED,2,NIID,['PRECISAR']
131,THREE,2,THRII,['TRÊS']
15,MAIN,2,MEIN,['PRINCIPAL']
116,UNDER,2,ÂNDÂR,['SOB']
129,EVEN,2,IIVÂN,['MESMO']
121,DRAW,2,DRÓ,"['ARRASTAR, EMPATE']"
148,WITH,2,UÊDH,['COM']
84,WANT,2,UÂNT,['QUERER']
124,PAPER,2,PEIPÂR,['PAPEL']
77,HEAD,2,RRED,['CABEÇA']
158,WHICH,2,UÊTCH,['QUAL']
55,UP,2,ÂP,['PARA-CIMA']
53,JUST,2,JÂST,"['JUSTO, SÓ']"
52,OFTEN,2,ÓFÂN,['MUITAS-VEZES']
4,MINUTE,2,MÊNÂT,['MINUTO']
22,MOVE,2,MUUV,['MOVIMENTO']
23,OVER,2,OUVÂR,"['SOBRE, ACIMA-DE']"
151,TRY,2,TRAI,['TENTAR']
39,MUCH,2,MÂTCH,['MUITO']
47,FAST,2,FÉST,['RÁPIDO']
80,REQUIRE,2,RÊQUAIR,['EXIGIR']
166,ABLE,1,EIBÂL,['CAPAZ']
135,EXAMPLE,1,IGZÉMPÂL,['EXEMPLO']
128,TWO,1,TUU,"['DOIS, DUAS']"
165,LOUD,1,LAUD,['ALTO(SOM)']
130,GROUP,1,GRUP,['GRUPO']
164,EITHER,1,AIDHÂR,"['UM, OU OUTRO, TAMBÉM']"
168,OWN,1,OUN,['PRÓPRIO']
163,THEM,1,DHÊM,['DELES']
132,FIVE,1,FAIV,['CINCO']
133,SELF,1,SELF,"['PRÓPRIO, EGO']"
162,LITTLE,1,LÊTTÂL,"['PEQUENO, POUCO']"
149,DIRECT,1,DÂREKT,['DIRETO']
161,GIVE,1,GHÊV,['DAR']
153,WHERE,1,UÉR,['ONDE']
147,MIND,1,MAIND,"['MENTE, IMPORTAR-SE']"
146,EVERY,1,EVRI,['CADA']
145,SENTENCE,1,SÊNTÂNS,['SENTENÇA']
144,POSSIBLE,1,PASÂBÂL,['POSSÍVEL']
141,LAST,1,LÉST,"['ÚLTIMO, DURAR']"
152,STRAIGHT,1,STREIT,['RETO']
154,CUT,1,CÂT,['CORTAR']
136,FIND,1,FAIND,['ENCONTRAR']
155,ABOUT,1,ÂBAUT,"['SOBRE, QUASE']"
138,WHETHER,1,UEDHÂR,['SE']
156,BACK,1,BÉK,"['ATRÁS, COSTAS']"
157,START,1,START,['COMEÇAR']
159,SET,1,SÊT,"['CONJUNTO, FIXAR']"
