PALAVRA,PRONUNCIA,TRADUCAO
THE,DHÂ,"['O, A, OS, AS']"
OF,ÂV,['DE']
TO,TUU,['PARA']
AND,ÉND,['E']
A,Â,"['UM, UMA']"
IN,ÊN,"['EM, DENTRO']"
IS,ÊS,['É']
IT,ÊT,['ESTE']
YOU,YUU,['VOCÊ']
THAT,DHÉT,"['QUE, AQUELE']"
HE,RRII,['ELE']
WAS,UÓS,"['ERA, ESTAVA']"
FOR,FÓR,"['POR, PARA']"
ON,ÓN,['EM']
ARE,AR,"['SÃO, ESTÃO']"
WITH,UÊDH,['COM']
AS,ÉS,"['COMO, ENQUANTO']"
I,AI,['EU']
HIS,RRÊS,['SEU']
THEY,DHEI,['ELES']
BE,BII,"['SER, ESTAR']"
AT,ÉT,['EM']
ONE,UÂN,['UM']
HAVE,RRÉV,['TER']
THIS,DHÊS,['ESTE']
FROM,FRÂM,['DE']
OR,ÓR,['OU']
HAD,RRÉD,['TINHA']
BY,BAI,"['POR, EM']"
HOT,RRAT,['QUENTE']
WORD,UÂD,['PALAVRA']
BUT,BÂT,['MAS']
WHAT,UÓT,['O-QUE']
SOME,SÂM,['ALGUM']
WE,UII,['NÓS']
CAN,KÉN,"['PODE, LATA']"
OUT,AUT,['FORA']
OTHER,ÂDHÂR,['OUTRO']
WERE,UÂR,"['ERAM, ESAVAM']"
ALL,ÓL,['TODO']
THERE,THÉR,['LÁ']
WHEN,UEN,['QUANDO']
UP,ÂP,['PARA-CIMA']
USE,IUZ,['USAR']
YOUR,YÓR,['SEU']
HOW,RRÁU,"['COMO, QUÃO']"
SAID,SÉD,['DISSE']
AN,ÉN,"['UM, UMA']"
EACH,IICH,['CADA']
SHE,SHII,['ELA']
WHICH,UÊTCH,['QUAL']
DO,DUU,"['FAZER, MESMO']"
THEIR,THÉR,['SEUS']
TIME,TAIM,"['TEMPO, HORA']"
IF,ÊF,['SE']
WILL,UÊL,"['VAI, VONTADE']"
WAY,UEI,"['CAMINHO, JEITO']"
ABOUT,ÂBAUT,"['SOBRE, QUASE']"
MANY,MÉNI,['MUITOS']
THEN,DHÊN,['ENTÃO']
THEM,DHÊM,['DELES']
WRITE,RAIT,['ESCREVER']
WOULD,UÔD,['DEVERIA']
LIKE,LAIK,"['COMO, GOSTAR']"
SO,SÔU,"['ASSIM, TÃO']"
THESE,DHIIZ,['ESTES']
HER,RRÂR,['DELA']
LONG,LÓNG,['LONGO']
MAKE,MEIK,['FAZER']
THING,THÊNG,['COISA']
SEE,SII,['VER']
HIM,RRÊM,['DELE']
TWO,TUU,"['DOIS, DUAS']"
HAS,RRÉS,['TEM']
LOOK,LÔK,['OLHAR']
MORE,MÓR,['MAIS']
DAY,DEI,['DIA']
COULD,CÔD,['PODERIA']
GO,GÔU,['IR']
COME,CÂM,['VIR']
DID,DÊD,"['FEZ, MESMO']"
NUMBER,NÂMBÂR,['NÚMERO']
SOUND,SAUND,['SOM']
NO,NOU,['NÃO']
MOST,MOUST,"['MAIS, MAIOR']"
PEOPLE,PIIPÂL,"['PESSOAS, POVO']"
MY,MAI,['MEU']
OVER,OUVÂR,"['SOBRE, ACIMA-DE']"
KNOW,NOU,['SABER']
WATER,UÓTTÂR,['ÁGUA']
THAN,DHÉN,['QUE']
CALL,CÓL,['CHAMAR']
FIRST,FÂRST,['PRIMEIRO']
WHO,RRUU,['QUE']
MAY,MEI,"['MAIO, PODE']"
DOWN,DAUN,['BAIXO']
SIDE,SAID,['LADO']
BEEN,BÊN,"['SIDO, ESTADO']"
NOW,NAU,['AGORA']
FIND,FAIND,['ENCONTRAR']
ANY,ÉNI,['QUALQUER']
NEW,NUU,['NOVO']
WORK,UÂRK,['TRABALHO']
PART,PART,['PARTE']
TAKE,TEIK,['PEGAR']
GET,GHÉT,['FICAR']
PLACE,PLEIS,['LUGAR']
MADE,MEID,['FEITO']
LIVE,"LÊV, LAIV","['VIVER, VIVO']"
WHERE,UÉR,['ONDE']
AFTER,ÉFTÂR,['APÓS']
BACK,BÉK,"['ATRÁS, COSTAS']"
LITTLE,LÊTTÂL,"['PEQUENO, POUCO']"
ONLY,OUNLI,['SOMENTE']
ROUND,RAUND,"['REDONDO, RODADA']"
MAN,MÉN,['HOMEM']
