,PALAVRA,QTD_PALAVRA,PRONUNCIA,TRADUCAO
1,,37250,,
6,THE,17361,DHÂ,"['O, A, OS, AS']"
4,OF,6459,ÂV,['DE']
41,TO,5612,TUU,['PARA']
13,A,5485,Â,"['UM, UMA']"
17,AND,5029,ÉND,['E']
11,IN,4350,ÊN,"['EM, DENTRO']"
31,IS,3803,ÊS,['É']
26,FOR,2498,FÓR,"['POR, PARA']"
102,THAT,2485,DHÉT,"['QUE, AQUELE']"
43,ARE,1574,AR,"['SÃO, ESTÃO']"
38,ON,1439,ÓN,['EM']
94,WE,1373,UII,['NÓS']
37,THIS,1339,DHÊS,['ESTE']
58,BE,1286,BII,"['SER, ESTAR']"
45,AS,1282,ÉS,"['COMO, ENQUANTO']"
29,WITH,1141,UÊDH,['COM']
18,BY,1130,BAI,"['POR, EM']"
46,OR,1045,ÓR,['OU']
14,AN,1042,ÉN,"['UM, UMA']"
25,FROM,943,FRÂM,['DE']
95,CAN,940,KÉN,"['PODE, LATA']"
27,IT,930,ÊT,['ESTE']
47,WHICH,792,UÊTCH,['QUAL']
5,FIGURE,744,FÊGHIÂR,"['FIGURA, IMAGINAR']"
172,TIME,728,TAIM,"['TEMPO, HORA']"
158,PAGE,664,PEIJ,['PÁGINA']
171,IF,664,ÊF,['SE']
53,MORE,655,MÓR,['MAIS']
75,TWO,654,TUU,"['DOIS, DUAS']"
78,CONTROL,639,CÂNTROUL,['CONTROLE']
210,CLOCK,605,CLAK,['RELÓGIO']
246,NUMBER,601,NÂMBÂR,['NÚMERO']
242,ONE,593,UÂN,['UM']
132,WILL,565,UÊL,"['VAI, VONTADE']"
181,HAVE,544,RRÉV,['TER']
28,AT,509,ÉT,['EM']
603,BRANCH,504,BRÉNCH,['GALHO']
180,SET,479,SÊT,"['CONJUNTO, FIXAR']"
138,THAN,469,DHÉN,['QUE']
169,USE,466,IUZ,['USAR']
186,WHEN,465,UEN,['QUANDO']
59,SYSTEM,465,SÊSTÂM,['SISTEMA']
220,EACH,446,IICH,['CADA']
165,THESE,437,DHIIZ,['ESTES']
40,ALL,414,ÓL,['TODO']
207,HAS,391,RRÉS,['TEM']
16,BLOCK,381,BLAK,['BLOCO']
134,MUST,379,MÂST,['DEVER']
650,MISS,348,MÊS,"['SENTIR, SENHORITA']"
71,EXAMPLE,347,IGZÉMPÂL,['EXEMPLO']
142,SO,347,SÔU,"['ASSIM, TÃO']"
123,HOW,344,RRÁU,"['COMO, QUÃO']"
64,ALSO,335,ÓLSOU,['TAMBÉM']
152,SINCE,332,SÊNS,['DESDE']
282,ONLY,327,OUNLI,['SOMENTE']
147,FIRST,326,FÂRST,['PRIMEIRO']
363,WRITE,319,RAIT,['ESCREVER']
229,WOULD,314,UÔD,['DEVERIA']
212,SUCH,306,SÂTCH,['TAL']
63,YOU,303,YUU,['VOCÊ']
230,VALUE,300,VÉLIU,['VALOR']
83,BETWEEN,294,BITUIIN,['ENTRE']
115,SAME,291,SEIM,['MESMO']
67,THEN,288,DHÊN,['ENTÃO']
90,STATE,286,STEIT,['ESTADO']
398,BIT,284,BÊT,"['POUCO, BROCA']"
70,LANGUAGE,282,LÉNGUÊJ,['LÍNGUA']
112,BOTH,278,BOUTH,['AMBOS']
168,READ,277,RIID,"['LER, LIDO']"
161,BUT,276,BÂT,['MAS']
191,SECTION,271,SEKSHÂN,['SEÇÃO']
145,THERE,267,THÉR,['LÁ']
377,WORD,262,UÂD,['PALAVRA']
98,WHAT,262,UÓT,['O-QUE']
396,ADD,261,ÉD,['ADICIONAR']
192,SEE,259,SII,['VER']
216,MANY,255,MÉNI,['MUITOS']
57,MAY,254,MEI,"['MAIO, PODE']"
167,THEY,248,DHEI,['ELES']
317,THREE,246,THRII,['TRÊS']
82,OTHER,246,ÂDHÂR,['OUTRO']
91,MACHINE,244,MÂSHIIN,['MÁQUINA']
108,NEED,242,NIID,['PRECISAR']
155,SIZE,239,SAIZ,['TAMANHO']
34,DESIGN,236,DÊZAIN,['DESENHO']
104,FIELD,236,FIILD,['CAMPO']
